anon_id,dataset,image_id,pred_id,matched_gt_class,matched_gt_area_px2,matched_gt_size_bin,matched_gt_aspect_ratio,matched_gt_ar_bin,formal_ar21_eligible,formal_stratum,formal_geometry_source,formal_class_source,locator_geometry_source,source_image_path,source_image_sha256,image_width,image_height,locator_cx,locator_cy,locator_box_xmin,locator_box_ymin,locator_box_xmax,locator_box_ymax,crop_xmin,crop_ymin,crop_xmax,crop_ymax,crop_relpath,crop_sha256,source_record_path,source_record_sha256,source_record_line,sampling_seed,sampling_rank
c26412cc14adf60e,DIOR-R,21504,5,airplane,10692.0,large,1.62963,1.6<=ar<2.1,False,airplane|large|1.6<=ar<2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/21504.jpg,895f1d5f4bdd1bdc052473b26349ec286741aa89f3477ca5fcf958528898cc9b,800,800,428.22,394.26,356.59,322.63,499.85,465.89,311,277,546,512,crops/c26412cc14adf60e.jpg,dd2f1c0d7bd46c9201707877b31470d894478dd40fa23d73fc69e0310ba79938,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,46202,20260712,1
1e3d8cc1e6c55d3b,DIOR-R,13026,5,Expressway-toll-station,150.0,small,1.5,ar<1.6,False,Expressway-toll-station|small|ar<1.6,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/13026.jpg,2842a6e2293bb50fa123bc949a3cd18aa21e466d7d9de2b7dfd99b4a17c0d340,800,800,342.28,192.88,318.28,168.88,366.28,216.88,294,144,391,241,crops/1e3d8cc1e6c55d3b.jpg,210fb3b1e0096de84cae5df0c00e00a8813684b1eb55a3f6d497a17a838bfc79,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,55996,20260712,2
33954392327ffbbf,DIOR-R,11746,49,ship,646.4003,small,3.15625,ar>=2.1,True,ship|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/11746.jpg,9c7d9583b5c85de06748d1a795d9940cf46c8fbd7790342a58b38be4d17f75a5,800,800,214.42,647.5,188.09,621.17,240.76,673.83,166,599,263,696,crops/33954392327ffbbf.jpg,460480ba7dc22b78af3461f7e33bb59dd0e66a9f44b4109ee193e134931ad393,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,64022,20260712,3
33adb03f58d0db3b,DIOR-R,21101,14,dam,379.058,small,3.791005,ar>=2.1,True,dam|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/21101.jpg,edfc722011f1115a01e25f9b6e6d1277bf03c0477f5ce1ae9e32cc34957f48e8,800,800,289.69,104.08,265.69,80.08,313.69,128.08,241,56,338,153,crops/33adb03f58d0db3b.jpg,a7bb8ac6dd4d34b329091c461e2bf13db3ba26eb5728357515f9586f37e8a2e8,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,16671,20260712,4
fc630ac89633a172,DIOR-R,18246,0,Expressway-Service-area,766.9999,small,2.269231,ar>=2.1,True,Expressway-Service-area|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/18246.jpg,3b7a59e2800ca3b190abd933f806a8e35548244943ab0aa36a3668e41d887331,800,800,409.61,605.46,385.61,581.46,433.61,629.46,361,557,458,654,crops/fc630ac89633a172.jpg,2a6e690e38cb8318190c2b06f9117c9490c5cd9568283c2d070b7e6508b33b08,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,41076,20260712,5
c6c873b2be3ea780,DIOR-R,15880,112,ship,252.0,small,3.111111,ar>=2.1,True,ship|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/15880.jpg,2c43274093f86e15c6c3cec6423eb1a4ddfe0a161906dd55b7dde01d5915c642,800,800,238.0,417.83,214.0,393.83,262.0,441.83,189,369,286,466,crops/c6c873b2be3ea780.jpg,d7428354f372cf2e271b7eccfad148ba14a399b3254975fe5098ec58e7bdec79,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,53213,20260712,6
384a09b2c13beb09,DIOR-R,12460,289,ship,168.0,small,2.625,ar>=2.1,True,ship|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/12460.jpg,7cae7d72a544a4a424ba65b14ab8478aaf86278626a93027634706cce0170a84,800,800,494.18,545.68,470.18,521.68,518.18,569.68,446,497,543,594,crops/384a09b2c13beb09.jpg,24acafec514c0df9c7936d14ca096d958737baec5efbf62afd1b00aa37b1d6aa,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,80184,20260712,7
885f088889e15db7,DIOR-R,14315,29,storagetank,182.0,small,1.076923,ar<1.6,False,storagetank|small|ar<1.6,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/14315.jpg,b2002ac47376aa6292b20599d1cb4b28a6ae98c0676babc198978ea9c4512cab,800,800,242.77,350.96,218.77,326.96,266.77,374.96,194,302,291,399,crops/885f088889e15db7.jpg,d4f26df73722b673bd0208a360be7020a42d9f6a1790ed3281a49b82383be0f9,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,47298,20260712,8
adf21d9d5f36829e,DIOR-R,22191,57,ship,630.0,small,3.15,ar>=2.1,True,ship|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/22191.jpg,d274873d2f9933367755cece074465c47bbcfec36d28321df7785280aab853f4,800,800,574.59,419.59,550.59,395.59,598.59,443.59,526,371,623,468,crops/adf21d9d5f36829e.jpg,7d3a7c4083d5437fa25b550c26207042c66212c2689074b724be6af8f26d5256,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,76487,20260712,9
021abe13d822d18d,DIOR-R,19479,53,ship,327.3343,small,2.257669,ar>=2.1,True,ship|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/19479.jpg,648f7b76d29ac532182630a5426ed8ae7a1d06d4069cd77610d2debfe327f235,800,800,190.25,131.57,166.25,107.57,214.25,155.57,142,83,239,180,crops/021abe13d822d18d.jpg,3460f26e58b2b368287179ae25aaaea17fce51688a8df412936bb3b9ba0ede76,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,70667,20260712,10
