file,line,text,recommended_term,status
docs/psc_miscalibration_mechanism_note.md,27,- PSC 在 **DOTA / FAIR1M / SODA 三处 NRC>1**（唯一系统性反校准的 detector family）。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_scientific_report.md,44,"- partial(NRC,mAP | dataset+family) = -0.005，**df=7，CI95 退化[-1,1] → under-powered，不可作强独立性结论**。",evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_scientific_report.md,52,- **只能说**：detection-score 作 selection 时在 PSC family 反校准；**不能说** PSC angle head 本身反校准（需 control experiment）。,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_scientific_report.md,82,- （图）补 masked/unmasked CDF、NRC-vs-mAP scatter、PSC family bar（figures_required_for_top_tier.md）。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/real_tta_non_psc_extension.md,6,- 新增非 PSC：**RTMDet（DIOR farm）+ ORCNN（FAIR1M farm）** = 2 非 PSC family × 2 dataset。4-GPU world_size=4，DumpDetResults→scratch。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/real_tta_non_psc_extension.md,10,| cell | family | n_audit | tta_match | mean_rtc° | score | sizelin | geo | **realTTA** | beats_sz | beats_geo |,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/real_tta_non_psc_extension.md,18,- **real TTA 现覆盖 6 cells / 3 datasets / 3 families**：PSC（DIOR#22/SODA#23/FAIR1M#24）+ ORCNN（DIOR#3/FAIR1M#5）+ RTMDet（DIOR#61）。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/real_tta_non_psc_extension.md,19,- **诚实边界**：① 口径为 within-cell calibration（用本 cell D_cal GT，非 deployable leave-*；deployable 口径见 route_c_dataflow_audit）；② SODA ORCNN #4 因 304k 推理过慢本轮**未完成**（next-step，非失败，是成本）；③ coverage 仍未含全部 family×dataset 组合。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/074_orientation_reliability_AB_split_full_report.md,95,平均精度综合衡量旋转目标检测的分类、定位和排序，却不能单独回答预测角度是否可信。本文建立一套与检测架构解耦的朝向可靠性协议。首先，在六个完整验证单元上，仅旋转已匹配预测并保持其与对应真值的旋转 IoU 大于 0.5，随后用完整评测器重新匹配。六个单元的 AP@0.5 均保持不变，而 AP@0.75 显著下降，平均角度误差由 4.63°--9.09° 增至 34.42°--40.54°。其次，我们用共中心、同尺度全等矩形定义 $\delta_{0.75}(a)$，由 IoU=0.75 与 15° 容忍语义反解得到长宽比约 2.1，将 `ar>=2.1` 作为唯一主分析域，并定义形状归一化严重事件。再次，我们以 NRC、AURC、Risk@70/90 评价任意置信分数，并把完整图像作为可交换单位，对图像内保留预测的严重事件比例应用固定序列 Learn-Then-Test 和 Hoeffding--Bentkus 有界损失上界。六个 primary families 在三个风险预算下共获得 18 个非退化选择；审计集非空图像比例为 35.38%--62.54%，而实例独立反事实给出过于乐观的,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/074_orientation_reliability_AB_split_full_report.md,245,以固定序列控制 family-wise error rate；遇到首个不能拒绝的候选即停止。审计图像完全不参与阈值选择。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
